name,gender,score,emails,country,group,bxl building id,bxl building name,bxl floor,bxl office number,bxl fax,bxl phone1,bxl phone2,stg building id,stg building name,stg floor,stg office number,stg fax,stg phone1,stg phone2
Pablo ARIAS ECHEVERRÍA,M,46,pablo.ariasecheverria@europarl.europa.eu,Spain,EPP,ASP,Altiero Spinelli,11,E246,+322 28 49909,+322 28 45909,+322 28 47909,LOW,Louise Weiss,T09,017,+333 88 1 79909,+333 88 1 75909,+333 88 1 77909
Frank ENGEL,M,49,frank.engel@europarl.europa.eu,Luxembourg,EPP,ASP,Altiero Spinelli,12,E153,+322 28 49162,+322 28 45162,+322 28 47162,LOW,Louise Weiss,T09,091,+333 88 1 79162,+333 88 1 75162,+333 88 1 77162
Christian ENGSTRÖM,M,68,christian.engstroem@europarl.europa.eu,Sweden,Greens/EFA,ASP,Altiero Spinelli,08,G153,+322 28 49368,+322 28 45368,+322 28 47368,LOW,Louise Weiss,T05,055,+333 88 1 79368,+333 88 1 75368,+333 88 1 77368
Ashley FOX,M,47,ashley.fox@europarl.europa.eu,United Kingdom,ECR,WIB,Willy Brandt,05,M075,+322 28 49677,+322 28 45677,+322 28 47677,LOW,Louise Weiss,T11,046,+333 88 1 79677,+333 88 1 75677,+333 88 1 77677
Marielle GALLO,F,32,marielle.gallo@europarl.europa.eu,France,EPP,ASP,Altiero Spinelli,14,E146,+322 28 49181,+322 28 45181,+322 28 47181,LOW,Louise Weiss,T08,016,+333 88 1 79181,+333 88 1 75181,+333 88 1 77181
Evelyne GEBHARDT,F,65,evelyne.gebhardt@europarl.europa.eu,Germany,SD,ASP,Altiero Spinelli,12,G346,+322 28 49466,+322 28 45466,+322 28 47466,LOW,Louise Weiss,T07,017,+333 88 1 79466,+333 88 1 75466,+333 88 1 77466
András GYÜRK,M,44,andras.gyurk@europarl.europa.eu,Hungary,EPP,ASP,Altiero Spinelli,12,E209,+322 28 49727,+322 28 45727,+322 28 47727,LOW,Louise Weiss,T11,051,+333 88 1 79727,+333 88 1 75727,+333 88 1 77727
Thomas HÄNDEL,M,57,thomas.haendel@europarl.europa.eu,Germany,GUE/NGL,ASP,Altiero Spinelli,06,F259,+322 28 49658,+322 28 45658,+322 28 47658,LOW,Louise Weiss,T05,018,+333 88 1 79658,+333 88 1 75658,+333 88 1 77658
Małgorzata HANDZLIK,F,57,malgorzata.handzlik@europarl.europa.eu,Poland,EPP,ASP,Altiero Spinelli,10,E157,+322 28 49319,+322 28 45319,+322 28 47319,LOW,Louise Weiss,T11,153,+333 88 1 79319,+333 88 1 75319,+333 88 1 77319
Malcolm HARBOUR,M,36,malcolm.harbour@europarl.europa.eu,United Kingdom,ECR,ASP,Altiero Spinelli,13,E130,+322 28 49132,+322 28 45132,+322 28 47132,LOW,Louise Weiss,T12,018,+333 88 1 79132,+333 88 1 75132,+333 88 1 77132
Anna HEDH,F,82,anna.hedh@europarl.europa.eu,Sweden,SD,ASP,Altiero Spinelli,14,G318,+322 28 49527,+322 28 45527,+322 28 47527,LOW,Louise Weiss,T07,085,+333 88 1 79527,+333 88 1 75527,+333 88 1 77527
Eduard-Raul HELLVIG,M,,eduard-raul.hellvig@europarl.europa.eu,Romania,ALDE,,,,,,,,,,,,,,
Ian HUDGHTON,M,90,ian.hudghton@europarl.europa.eu,United Kingdom,Greens/EFA,ASP,Altiero Spinelli,08,H161,+322 28 49499,+322 28 45499,+322 28 47499,LOW,Louise Weiss,T05,137,+333 88 1 79499,+333 88 1 75499,+333 88 1 77499
Cornelis de JONG,M,67,dennis.dejong@europarl.europa.eu,Netherlands,GUE/NGL,ASP,Altiero Spinelli,07,F254,+322 28 49664,+322 28 45664,+322 28 47664,LOW,Louise Weiss,T05,086,+333 88 1 79664,+333 88 1 75664,+333 88 1 77664
Philippe JUVIN,M,39,philippe.juvin@europarl.europa.eu,France,EPP,ASP,Altiero Spinelli,13,E218,+322 28 49199,+322 28 45199,+322 28 47199,LOW,Louise Weiss,T08,049,+333 88 1 79199,+333 88 1 75199,+333 88 1 77199
Sandra KALNIETE,F,48,sandra.kalniete@europarl.europa.eu,Latvia,EPP,ASP,Altiero Spinelli,10,E253,+322 28 49204,+322 28 45204,+322 28 47204,LOW,Louise Weiss,T10,035,+333 88 1 79204,+333 88 1 75204,+333 88 1 77204
Patricia van der KAMMEN,F,50,patricia.vanderkammen@europarl.europa.eu,Netherlands,NI,ASP,Altiero Spinelli,04,F343,+322 28 49849,+322 28 45849,+322 28 47849,WIC,Winston Churchill,M02,044,+333 88 1 79849,+333 88 1 75849,+333 88 1 77849
Othmar KARAS,M,34,othmar.karas@europarl.europa.eu,Austria,EPP,ASP,Altiero Spinelli,14,G102,+322 28 49627,+322 28 45627,+322 28 47627,LOW,Louise Weiss,T12,031,+333 88 1 79627,+333 88 1 75627,+333 88 1 77627
Edvard KOŽUŠNÍK,M,45,edvard.kozusnik@europarl.europa.eu,Czech Republic,ECR,WIB,Willy Brandt,03,M097,+322 28 49711,+322 28 45711,+322 28 47711,LOW,Louise Weiss,T13,037,+333 88 1 79711,+333 88 1 75711,+333 88 1 77711
Birgit COLLIN-LANGEN,F,51,birgit.collin-langen@europarl.europa.eu,Germany,EPP,ASP,Altiero Spinelli,15,E253,+322 28 49826,+322 28 45826,+322 28 47826,LOW,Louise Weiss,T10,088,+333 88 1 79826,+333 88 1 75826,+333 88 1 77826
Constance LE GRIP,F,32,constance.legrip@europarl.europa.eu,France,EPP,ASP,Altiero Spinelli,13,E157,+322 28 49120,+322 28 45120,+322 28 47120,LOW,Louise Weiss,T08,047,+333 88 1 79120,+333 88 1 75120,+333 88 1 77120
Morten LØKKEGAARD,M,53,morten.lokkegaard@europarl.europa.eu,Denmark,ALDE,ASP,Altiero Spinelli,09,G142,+322 28 49571,+322 28 45571,+322 28 47571,WIC,Winston Churchill,M02,039A,+333 88 1 79571,+333 88 1 75571,+333 88 1 77571
Toine MANDERS,M,35,toine.manders@europarl.europa.eu,Netherlands,ALDE,ASP,Altiero Spinelli,10,G265,+322 28 49629,+322 28 45629,+322 28 47629,WIC,Winston Churchill,M02,088,+333 88 1 79629,+333 88 1 75629,+333 88 1 77629
Hans-Peter MAYER,M,38,hans-peter.mayer@europarl.europa.eu,Germany,EPP,ASP,Altiero Spinelli,15,E154,+322 28 49994,+322 28 47994,+322 28 47994,LOW,Louise Weiss,T10,002,+333 88 1 79994,+333 88 1 77994,+333 88 1 77994
Emma MCCLARKIN,F,45,emma.mcclarkin@europarl.europa.eu,United Kingdom,ECR,WIB,Willy Brandt,04,M105,+322 28 49684,+322 28 45684,+322 28 47684,LOW,Louise Weiss,T11,055,+333 88 1 79684,+333 88 1 75684,+333 88 1 77684
Roberta METSOLA,F,,roberta.metsola@europarl.europa.eu,Malta,EPP,,,,,,,,,,,,,,
Claude MORAES,M,38,claude.moraes@europarl.europa.eu,United Kingdom,SD,ASP,Altiero Spinelli,13,G342,+322 28 49553,+322 28 45553,+322 28 47553,LOW,Louise Weiss,T07,042,+333 88 1 79553,+333 88 1 75553,+333 88 1 77553
Tiziano MOTTI,M,35,tiziano.motti@europarl.europa.eu,Italy,EPP,ASP,Altiero Spinelli,09,E209,+322 28 49247,+322 28 45247,+322 28 47247,LOW,Louise Weiss,T10,049,+333 88 1 79247,+333 88 1 75247,+333 88 1 77247
Liem HOANG NGOC,M,66,liem.hoangngoc@europarl.europa.eu,France,SD,ASP,Altiero Spinelli,14,G257,+322 28 49435,+322 28 45435,+322 28 47435,LOW,Louise Weiss,T08,007,+333 88 1 79435,+333 88 1 75435,+333 88 1 77435
Franz OBERMAYR,M,54,franz.obermayr@europarl.europa.eu,Austria,NI,WIB,Willy Brandt,05,M113,+322 28 49680,+322 28 45680,+322 28 47680,LOW,Louise Weiss,T10,020,+333 88 1 79680,+333 88 1 75680,+333 88 1 77680
Pier Antonio PANZERI,M,68,pierantonio.panzeri@europarl.europa.eu,Italy,SD,ASP,Altiero Spinelli,15,G205,+322 28 49349,+322 28 45349,+322 28 47349,LOW,Louise Weiss,T06,058,+333 88 1 79349,+333 88 1 75349,+333 88 1 77349
Antonyia PARVANOVA,F,63,antonyia.parvanova@europarl.europa.eu,Bulgaria,ALDE,ASP,Altiero Spinelli,09,G265,+322 28 49568,+322 28 45568,+322 28 47568,WIC,Winston Churchill,M02,030,+333 88 1 79568,+333 88 1 75568,+333 88 1 77568
Ildikó GÁLL-PELCZ,F,49,ildiko.gall-pelcz@europarl.europa.eu,Hungary,EPP,ASP,Altiero Spinelli,12,E258,+322 28 49544,+322 28 45544,+322 28 47544,LOW,Louise Weiss,T11,010,+333 88 1 79544,+333 88 1 75544,+333 88 1 77544
María IRIGOYEN PÉREZ,F,64,maria.irigoyenperez@europarl.europa.eu,Spain,SD,ASP,Altiero Spinelli,11,G265,+322 28 49335,+322 28 45335,+322 28 47335,LOW,Louise Weiss,T07,133,+333 88 1 79335,+333 88 1 75335,+333 88 1 77335
Sirpa PIETIKÄINEN,F,52,sirpa.pietikainen@europarl.europa.eu,Finland,EPP,ASP,Altiero Spinelli,08,F154,+322 28 49264,+322 28 45264,+322 28 47264,LOW,Louise Weiss,T09,048,+333 88 1 79264,+333 88 1 75264,+333 88 1 77264
Konstantinos POUPAKIS,M,49,konstantinos.poupakis@europarl.europa.eu,Greece,EPP,ASP,Altiero Spinelli,08,E115,+322 28 49260,+322 28 45260,+322 28 47260,LOW,Louise Weiss,T09,037,+333 88 1 79260,+333 88 1 75260,+333 88 1 77260
Phil PRENDERGAST,F,59,phil.prendergast@europarl.europa.eu,Ireland,SD,ASP,Altiero Spinelli,11,G209,+322 28 49537,+322 28 45537,+322 28 47537,LOW,Louise Weiss,T05,043,+333 88 1 79537,+333 88 1 75537,+333 88 1 77537
Vicente Miguel GARCÉS RAMÓN,M,54,vicente.garcesramon@europarl.europa.eu - vicentemiguel.garcesramon@europarl.europa.eu,Spain,SD,ASP,Altiero Spinelli,11,G257,+322 28 49414,+322 28 45414,+322 28 47414,LOW,Louise Weiss,T05,051,+333 88 1 79414,+333 88 1 75414,+333 88 1 77414
Sylvana RAPTI,F,66,sylvana.rapti@europarl.europa.eu,Greece,SD,ASP,Altiero Spinelli,11,G107,+322 28 49461,+322 28 45461,+322 28 47461,LOW,Louise Weiss,T07,072,+333 88 1 79461,+333 88 1 75461,+333 88 1 77461
Mitro REPO,M,66,mitro.repo@europarl.europa.eu,Finland,SD,ASP,Altiero Spinelli,13,G265,+322 28 49542,+322 28 45542,+322 28 47542,LOW,Louise Weiss,T06,034,+333 88 1 79542,+333 88 1 75542,+333 88 1 77542
Robert ROCHEFORT,M,65,robert.rochefort@europarl.europa.eu,France,ALDE,ASP,Altiero Spinelli,09,G115,+322 28 49830,+322 28 45830,+322 28 47830,WIC,Winston Churchill,M02,077,+333 88 1 79830,+333 88 1 75830,+333 88 1 77830
Zuzana ROITHOVÁ,F,60,zuzana.roithova@europarl.europa.eu,Czech Republic,EPP,ASP,Altiero Spinelli,03,F365,+322 28 49485,+322 28 45485,+322 28 47485,LOW,Louise Weiss,T10,069,+333 88 1 79485,+333 88 1 75485,+333 88 1 77485
Heide RÜHLE,F,87,heide.ruehle@europarl.europa.eu,Germany,Greens/EFA,ASP,Altiero Spinelli,08,G165,+322 28 49609,+322 28 45609,+322 28 47609,LOW,Louise Weiss,T05,129,+333 88 1 79609,+333 88 1 75609,+333 88 1 77609
Matteo SALVINI,M,60,matteo.salvini@europarl.europa.eu,Italy,EFD,ASP,Altiero Spinelli,07,H242,+322 28 49753,+322 28 45753,+322 28 47753,LOW,Louise Weiss,T08,056,+333 88 1 79753,+333 88 1 75753,+333 88 1 77753
Christel SCHALDEMOSE,F,76,christel.schaldemose@europarl.europa.eu,Denmark,SD,ASP,Altiero Spinelli,11,G146,+322 28 49491,+322 28 45491,+322 28 47491,LOW,Louise Weiss,T07,149,+333 88 1 79491,+333 88 1 75491,+333 88 1 77491
Olle SCHMIDT,M,71,olle.schmidt@europarl.europa.eu,Sweden,ALDE,ASP,Altiero Spinelli,10,G351,+322 28 49541,+322 28 45541,+322 28 47541,WIC,Winston Churchill,M02,108,+333 88 1 79541,+333 88 1 75541,+333 88 1 77541
Andreas SCHWAB,M,32,andreas.schwab@europarl.europa.eu,Germany,EPP,ASP,Altiero Spinelli,15,E130,+322 28 49938,+322 28 45938,+322 28 47938,LOW,Louise Weiss,T10,147,+333 88 1 79938,+333 88 1 75938,+333 88 1 77938
Olga SEHNALOVÁ,F,66,olga.sehnalova@europarl.europa.eu,Czech Republic,SD,ASP,Altiero Spinelli,14,G115,+322 28 49417,+322 28 45417,+322 28 47417,LOW,Louise Weiss,T07,063,+333 88 1 79417,+333 88 1 75417,+333 88 1 77417
Marek SIWIEC,M,75,marek.siwiec@europarl.europa.eu,Poland,SD,ASP,Altiero Spinelli,15,G142,+322 28 49653,+322 28 45653,+322 28 47653,LOW,Louise Weiss,T08,137,+333 88 1 79653,+333 88 1 75653,+333 88 1 77653
Gabriele STAUNER,F,38,info@stauner.de,Germany,EPP,ASP,Altiero Spinelli,10,E153,+32 2 28 49 711,+32 2 28 45 711,+32 2 28 47 711,LOW,Louise Weiss,T10,023,+33 3 88 179 711,+33 3 88 175 711,+33 3 88 177 711
Jutta STEINRUCK,F,66,jutta.steinruck@europarl.europa.eu,Germany,SD,ASP,Altiero Spinelli,12,G142,+322 28 49563,+322 28 45563,+322 28 47563,LOW,Louise Weiss,T07,019,+333 88 1 79563,+333 88 1 75563,+333 88 1 77563
Catherine STIHLER,F,51,catherine.stihler@europarl.europa.eu,United Kingdom,SD,ASP,Altiero Spinelli,13,G309,+322 28 49462,+322 28 45462,+322 28 47462,LOW,Louise Weiss,T07,032,+333 88 1 79462,+333 88 1 75462,+333 88 1 77462
Ivo STREJČEK,M,48,ivo.strejcek@europarl.europa.eu,Czech Republic,ECR,WIB,Willy Brandt,03,M105,+322 28 49667,+322 28 45667,+322 28 47667,LOW,Louise Weiss,T13,041,+333 88 1 79667,+333 88 1 75667,+333 88 1 77667
Csanád SZEGEDI,M,45,csanad.szegedi@europarl.europa.eu,Hungary,NI,ASP,Altiero Spinelli,03,E264,+322 28 49787,+322 28 45787,+322 28 47787,WIC,Winston Churchill,M03,060,+333 88 1 79787,+333 88 1 75787,+333 88 1 77787
Søren Bo SØNDERGAARD,M,90,sorenbo.sondergaard@europarl.europa.eu,Denmark,GUE/NGL,ASP,Altiero Spinelli,07,F259,+322 28 49152,+322 28 45152,+322 28 47152,LOW,Louise Weiss,T05,021,+333 88 1 79152,+333 88 1 75152,+333 88 1 77152
Marc TARABELLA,M,66,marc.tarabella@europarl.europa.eu,Belgium,SD,ASP,Altiero Spinelli,12,G157,+322 28 49444,+322 28 45444,+322 28 47444,LOW,Louise Weiss,T07,041,+333 88 1 79444,+333 88 1 75444,+333 88 1 77444
Gino TREMATERRA,M,49,gino.trematerra@europarl.europa.eu,Italy,EPP,ASP,Altiero Spinelli,08,E259,+322 28 49171,+322 28 45171,+322 28 47171,LOW,Louise Weiss,T10,043,+333 88 1 79171,+333 88 1 75171,+333 88 1 77171
Kyriacos TRIANTAPHYLLIDES,M,78,kyriacos.triantaphyllides@europarl.europa.eu,Cyprus,GUE/NGL,ASP,Altiero Spinelli,06,F349,+322 28 49958,+322 28 45958,+322 28 47958,LOW,Louise Weiss,T05,025,+333 88 1 79958,+333 88 1 75958,+333 88 1 77958
Rafał TRZASKOWSKI,M,55,rafal.trzaskowski@europarl.europa.eu,Poland,EPP,ASP,Altiero Spinelli,14,E115,+322 28 49784,+322 28 45784,+322 28 47784,LOW,Louise Weiss,T11,027,+333 88 1 79784,+333 88 1 75784,+333 88 1 77784
Emilie TURUNEN,F,66,emilie.turunen@europarl.europa.eu,Denmark,SD,ASP,Altiero Spinelli,15,G169,+322 28 49403,+322 28 45403,+322 28 47403,LOW,Louise Weiss,T07,031,+333 88 1 79403,+333 88 1 75403,+333 88 1 77403
Róża Gräfin von THUN UND HOHENSTEIN,F,55,roza.thun@europarl.europa.eu,Poland,EPP,ASP,Altiero Spinelli,14,E254,+322 28 49301,+322 28 45301,+322 28 47301,LOW,Louise Weiss,T11,005,+333 88 1 79301,+333 88 1 75301,+333 88 1 77301
Bernadette VERGNAUD,F,67,bernadette.vergnaud@europarl.europa.eu,France,SD,ASP,Altiero Spinelli,14,G169,+322 28 49210,+322 28 45210,+322 28 47210,LOW,Louise Weiss,T08,153,+333 88 1 79210,+333 88 1 75210,+333 88 1 77210
Sabine VERHEYEN,F,53,sabine.verheyen@europarl.europa.eu,Germany,EPP,ASP,Altiero Spinelli,15,E165,+322 28 49299,+322 28 45299,+322 28 47299,LOW,Louise Weiss,T10,149,+333 88 1 79299,+333 88 1 75299,+333 88 1 77299
Josef WEIDENHOLZER,M,59,josef.weidenholzer@europarl.europa.eu,Austria,SD,ASP,Altiero Spinelli,15,G265,+322 28 49473,+322 28 45473,+322 28 47473,LOW,Louise Weiss,T06,087,+333 88 1 79473,+333 88 1 75473,+333 88 1 77473
Barbara WEILER,F,65,barbara.weiler@europarl.europa.eu,Germany,SD,ASP,Altiero Spinelli,12,G269,+322 28 49439,+322 28 45439,+322 28 47439,LOW,Louise Weiss,T07,006,+333 88 1 79439,+333 88 1 75439,+333 88 1 77439
Kerstin WESTPHAL,F,66,kerstin.westphal@europarl.europa.eu,Germany,SD,ASP,Altiero Spinelli,12,G351,+322 28 49534,+322 28 45534,+322 28 47534,LOW,Louise Weiss,T07,025,+333 88 1 79534,+333 88 1 75534,+333 88 1 77534
